date,number_of_strikes,center_point_geom
2018-01-03,194,POINT(-75 27)
2018-01-03,41,POINT(-78.4 29)
2018-01-03,33,POINT(-73.9 27)
2018-01-03,38,POINT(-73.8 27)
2018-01-03,92,POINT(-79 28)
2018-01-03,119,POINT(-78 28)
2018-01-03,35,POINT(-79.3 28)
2018-01-03,60,POINT(-79.1 28)
2018-01-03,41,POINT(-78.7 28)
2018-01-03,119,POINT(-78.6 28)
2018-01-03,107,POINT(-78.5 28)
2018-01-03,158,POINT(-78.4 28)
2018-01-03,168,POINT(-78.3 28)
2018-01-03,167,POINT(-78.2 28)
2018-01-03,121,POINT(-78.1 28)
2018-01-03,47,POINT(-77.9 28)
2018-01-03,33,POINT(-75.3 27)
2018-01-03,84,POINT(-75.2 27)
2018-01-03,235,POINT(-75.1 27)
2018-01-03,98,POINT(-74.9 27)
2018-01-03,46,POINT(-77.8 28)
2018-01-03,26,POINT(-72.3 28)
2018-01-03,31,POINT(-72.2 28)
2018-01-03,52,POINT(-71.7 28)
2018-01-03,34,POINT(-77.7 29)
2018-01-03,29,POINT(-76.9 29)
2018-01-03,64,POINT(-76.9 30)
2018-01-03,41,POINT(-76.8 30)
2018-01-03,59,POINT(-76.7 30)
2018-01-03,29,POINT(-76.6 30)
2018-01-03,31,POINT(-76.1 31)
2018-01-03,46,POINT(-79.3 25.8)
2018-01-03,31,POINT(-79.9 25.5)
2018-01-03,36,POINT(-79.3 24.9)
2018-01-03,53,POINT(-74.7 26.1)
2018-01-03,26,POINT(-79.9 25.6)
2018-01-03,33,POINT(-79.2 25.7)
2018-01-03,56,POINT(-79.1 25.7)
2018-01-03,25,POINT(-79.5 25.9)
2018-01-03,23,POINT(-79.4 26.8)
2018-01-03,32,POINT(-79.3 26.9)
2018-01-03,23,POINT(-79.2 26.9)
2018-01-03,124,POINT(-75.2 26.9)
2018-01-03,88,POINT(-75.1 26.9)
2018-01-03,43,POINT(-73.9 26.9)
2018-01-03,101,POINT(-79 27.1)
2018-01-03,65,POINT(-75 27.1)
2018-01-03,25,POINT(-74.2 26.7)
2018-01-03,47,POINT(-75 27.2)
2018-01-03,63,POINT(-75.1 27.2)
2018-01-03,29,POINT(-74.9 27.2)
2018-01-03,63,POINT(-74.8 27.2)
2018-01-03,63,POINT(-74.7 27.2)
2018-01-03,66,POINT(-74.6 27.2)
2018-01-03,43,POINT(-74.2 26.8)
2018-01-03,64,POINT(-74.1 26.8)
2018-01-03,49,POINT(-74 26.9)
2018-01-03,38,POINT(-75 27.4)
2018-01-03,84,POINT(-74.4 27.4)
2018-01-03,111,POINT(-74.3 27.4)
2018-01-03,25,POINT(-79.1 27.1)
2018-01-03,53,POINT(-78.9 27.1)
2018-01-03,31,POINT(-75.1 27.1)
2018-01-03,84,POINT(-74.9 27.1)
2018-01-03,59,POINT(-74.8 27.1)
2018-01-03,32,POINT(-74.7 27.1)
2018-01-03,32,POINT(-73.7 27.1)
2018-01-03,59,POINT(-74 27.5)
2018-01-03,25,POINT(-74.4 27.5)
2018-01-03,56,POINT(-74.3 27.5)
2018-01-03,101,POINT(-74.2 27.5)
2018-01-03,85,POINT(-74.1 27.5)
2018-01-03,67,POINT(-75 27.3)
2018-01-03,50,POINT(-75.1 27.3)
2018-01-03,35,POINT(-74.6 27.3)
2018-01-03,145,POINT(-74.5 27.3)
2018-01-03,48,POINT(-74.4 27.3)
2018-01-03,63,POINT(-73.8 27.6)
2018-01-03,104,POINT(-73.8 27.7)
2018-01-03,81,POINT(-73.7 27.7)
2018-01-03,38,POINT(-74 27.6)
2018-01-03,32,POINT(-74.2 27.4)
2018-01-03,39,POINT(-73.7 27.8)
2018-01-03,75,POINT(-73.6 27.8)
2018-01-03,31,POINT(-73.4 27.8)
2018-01-03,23,POINT(-73.3 27.8)
2018-01-03,31,POINT(-72.8 27.8)
2018-01-03,48,POINT(-72.7 27.8)
2018-01-03,50,POINT(-72.6 27.8)
2018-01-03,114,POINT(-73.9 27.6)
2018-01-03,31,POINT(-72.5 27.9)
2018-01-03,50,POINT(-72.8 27.7)
2018-01-03,204,POINT(-78.6 28.1)
2018-01-03,186,POINT(-78.5 28.1)
2018-01-03,59,POINT(-78.4 28.1)
2018-01-03,45,POINT(-78.3 28.1)
2018-01-03,63,POINT(-78.2 28.1)
2018-01-03,63,POINT(-78.1 28.1)
2018-01-03,76,POINT(-77.9 28.1)
2018-01-03,102,POINT(-77.8 28.1)
2018-01-03,83,POINT(-77.7 28.1)
2018-01-03,53,POINT(-77.6 28.1)
2018-01-03,23,POINT(-79.6 27.9)
2018-01-03,49,POINT(-71.6 28.1)
2018-01-03,29,POINT(-78.8 28.2)
2018-01-03,247,POINT(-78.7 28.2)
2018-01-03,333,POINT(-78.6 28.2)
2018-01-03,64,POINT(-78.5 28.2)
2018-01-03,181,POINT(-78.4 28.2)
2018-01-03,44,POINT(-78.3 28.2)
2018-01-03,47,POINT(-78.2 28.2)
2018-01-03,76,POINT(-79 28.1)
2018-01-03,107,POINT(-78 28.1)
2018-01-03,75,POINT(-78.9 28.1)
2018-01-03,177,POINT(-78.8 28.1)
2018-01-03,281,POINT(-78.7 28.1)
2018-01-03,51,POINT(-77 28.3)
2018-01-03,25,POINT(-78.7 28.3)
2018-01-03,81,POINT(-78.6 28.3)
2018-01-03,48,POINT(-78.5 28.3)
2018-01-03,202,POINT(-78.4 28.3)
2018-01-03,109,POINT(-78.3 28.3)
2018-01-03,252,POINT(-78.2 28.3)
2018-01-03,40,POINT(-78.1 28.3)
2018-01-03,31,POINT(-77.6 28.3)
2018-01-03,47,POINT(-77.3 28.3)
2018-01-03,56,POINT(-77.2 28.3)
2018-01-03,75,POINT(-77.1 28.3)
2018-01-03,32,POINT(-76.9 28.3)
2018-01-03,28,POINT(-75.3 28.3)
2018-01-03,40,POINT(-75.2 28.3)
2018-01-03,31,POINT(-77.8 28.2)
2018-01-03,34,POINT(-77.6 28.2)
2018-01-03,61,POINT(-77.5 28.2)
